Timestamp	FromInstitution	FromAccount	ToInstitution	ToAccount	FromAmount	FromCurrency	ToAmount	ToCurrency	Format
2026-08-16T10:00:00	FI001	A1001	FI002	A2001	500.00	USD	500.00	USD	ACH
2026-08-16T10:15:00	FI002	A2001	FI001	A3001	125.50	USD	125.50	USD	ACH
2026-08-16T10:30:00	FI001	A3001	FI002	A4001	750.00	USD	750.00	USD	Wire
2026-08-16T11:00:00	FI002	A4001	FI003	A5001	1000.00	USD	775.00	GBP	Wire
2026-08-16T11:20:00	FI003	A5001	FI001	A6001	200.00	GBP	258.00	USD	Wire
2026-08-16T12:00:00	FI001	A6001	FI001	A1002	300.00	USD	300.00	USD	ACH
2026-08-16T12:20:00	FI001	A1002	FI002	A1001	90.00	USD	90.00	USD	Cheque
2026-08-16T13:00:00	FI002	A1001	FI001	A1001	45.00	USD	45.00	USD	ACH
2026-08-16T13:30:00	FI001	A1001	FI001	A1001	25.00	USD	25.00	USD	Reinvestment
2026-08-16T14:00:00	FI001	A3001	FI002	A4001	65.25	USD	65.25	USD	Credit Card
